2024-01-10,50000,Зарплата,Доход
2024-01-15,-1500.50,Продукты в Пятерочке,Продукты
2024-01-08,-350,Метро,Транспорт
2024-01-05,-1200,Ресторан Суши,Рестораны
2024-01-03,-450,Аптека,Здоровье
2024-01-12,-2800,Аренда квартиры,Жилье
2024-01-07,-899,Интернет,Коммунальные
2024-01-20,-150,Такси,Транспорт
2024-01-25,-3200,Одежда в Zara,Одежда
2024-01-28,-750,Кино,Развлечения
2024-01-02,-1200,Продукты в Перекрестке,Продукты
2024-01-04,-650,Бензин А-95,Транспорт
2024-01-06,-2300,Ремонт телефона,Техника
2024-01-09,-1800,Стоматолог,Здоровье
2024-01-11,-4500,Мебель в ИКЕА,Дом
2024-01-13,-890,Обед в столовой,Рестораны
2024-01-14,-340,Электричка,Транспорт
2024-01-16,-1560,Супермаркет Ашан,Продукты
2024-01-17,-230,Кофе с собой,Рестораны
2024-01-18,-6700,Новый iPhone,Техника
2024-01-19,-450,Фитнес-клуб,Спорт
2024-01-21,-1280,Продукты в Магните,Продукты
2024-01-22,-560,Такси в аэропорт,Транспорт
2024-01-23,-3200,Одежда в H&M,Одежда
2024-01-24,-780,Ужин в кафе,Рестораны
2024-01-26,-450,Мобильная связь,Коммунальные
2024-01-27,-12000,Отдых в Сочи,Путешествия
2024-01-29,-2300,Косметика в Рив Гош,Красота
2024-01-30,-890,Книги в Читай-городе,Образование
2024-01-31,-1560,Продукты,Продукты
2024-02-01,48000,Аванс,Доход
2024-02-02,-1450,Продукты в Пятерочке,Продукты
2024-02-03,-670,Метро,Транспорт
2024-02-04,-2300,Ресторан Грузинский,Рестораны
2024-02-05,-780,Витамины,Здоровье
2024-02-06,-2900,Аренда,Жилье
2024-02-07,-950,Интернет,Коммунальные
2024-02-08,-240,Такси,Транспорт
2024-02-09,-4100,Обувь,Одежда
2024-02-10,-680,Концерт,Развлечения
2024-02-11,-1350,Продукты,Продукты
2024-02-12,-720,Бензин,Транспорт
2024-02-13,-1890,Наушники,Техника
2024-02-14,-2300,Спортзал,Спорт
2024-02-15,-5600,Диван,Дом
2024-02-16,-450,Бизнес-ланч,Рестораны
2024-02-17,-290,Автобус,Транспорт
2024-02-18,-1670,Продукты,Продукты
2024-02-19,-180,Кофе,Рестораны
2024-02-20,-8900,Ноутбук,Техника
2024-02-21,-550,Бассейн,Спорт
2024-02-22,-1420,Продукты,Продукты
2024-02-23,-670,Такси,Транспорт
2024-02-24,-2300,Джинсы,Одежда
2024-02-25,-890,Пицца,Рестораны
2024-02-26,-450,Телефон,Коммунальные
2024-02-27,-15600,Отдых в Турции,Путешествия
2024-02-28,-3400,Парфюм,Красота
2024-02-29,-1200,Курсы английского,Образование
2024-03-01,52000,Зарплата,Доход
2024-03-02,-1670,Продукты,Продукты
2024-03-03,-450,Метро,Транспорт
2024-03-04,-1890,Суши-бар,Рестораны
2024-03-05,-670,Лекарства,Здоровье
2024-03-06,-3100,Аренда,Жилье
2024-03-07,-890,Интернет,Коммунальные
2024-03-08,-180,Такси,Транспорт
2024-03-09,-5600,Пальто,Одежда
2024-03-10,-1200,Театр,Развлечения
2024-03-11,-1560,Продукты,Продукты
2024-03-12,-780,Бензин,Транспорт
2024-03-13,-4500,Планшет,Техника
2024-03-14,-2300,Йога,Спорт
2024-03-15,-7800,Шкаф,Дом
2024-03-16,-340,Обед,Рестораны
2024-03-17,-230,Троллейбус,Транспорт
2024-03-18,-1890,Продукты,Продукты
2024-03-19,-150,Кофе,Рестораны
2024-03-20,-12300,Фотоаппарат,Техника
2024-03-21,-670,Теннис,Спорт
2024-03-22,-1670,Продукты,Продукты
2024-03-23,-450,Такси,Транспорт
2024-03-24,-3400,Платья,Одежда
2024-03-25,-1200,Бургерная,Рестораны
2024-03-26,-550,Коммуналка,Коммунальные
2024-03-27,-18900,Египет тур,Путешествия
2024-03-28,-4500,Косметолог,Красота
2024-03-29,-2300,Курсы программирования,Образование
2024-03-30,-1450,Продукты,Продукты
2024-03-31,-350,Метро,Транспорт
2024-04-01,48000,Аванс,Доход
2024-04-02,-1670,Продукты,Продукты
2024-04-03,-2300,Итальянский ресторан,Рестораны
2024-04-04,-890,Врач,Здоровье
2024-04-05,-2800,Аренда,Жилье
2024-04-06,-950,Интернет,Коммунальные
2024-04-07,-290,Такси,Транспорт
2024-04-08,-6700,Куртка,Одежда
2024-04-09,-1560,Кино,Развлечения
2024-04-10,-1340,Продукты,Продукты
2024-04-11,-670,Бензин,Транспорт
2024-04-12,-7800,Телевизор,Техника
2024-04-13,-2300,Фитнес,Спорт
2024-04-14,-4500,Кровать,Дом
2024-04-15,-450,Обед,Рестораны
2024-04-16,-180,Метро,Транспорт
2024-04-17,-1560,Продукты,Продукты
2024-04-18,-120,Кофе,Рестораны
2024-04-19,-15600,Ноутбук игровой,Техника
2024-04-20,-780,Бассейн,Спорт
2024-04-21,-1670,Продукты,Продукты
2024-04-22,-340,Такси,Транспорт
2024-04-23,-2300,Рубашки,Одежда
2024-04-24,-890,Паста,Рестораны
2024-04-25,-450,Связь,Коммунальные
2024-04-26,-13400,Тур в Грецию,Путешествия
2024-04-27,-3400,Салон красоты,Красота
2024-04-28,-1200,Курсы дизайна,Образование
2024-04-29,-1450,Продукты,Продукты
2024-04-30,-350,Метро,Транспорт
2024-05-01,55000,Зарплата,Доход
2024-05-02,-1670,Продукты,Продукты
2024-05-03,-1890,Стейк-хаус,Рестораны
2024-05-04,-670,Аптека,Здоровье
2024-05-05,-2900,Аренда,Жилье
2024-05-06,-890,Интернет,Коммунальные
2024-05-07,-230,Такси,Транспорт
2024-05-08,-4500,Кроссовки,Одежда
2024-05-09,-1200,Боулинг,Развлечения
2024-05-10,-1560,Продукты,Продукты
2024-05-11,-780,Бензин,Транспорт
2024-05-12,-6700,Смартфон,Техника
2024-05-13,-2300,Тренажерный зал,Спорт
2024-05-14,-5600,Стол,Дом
2024-05-15,-340,Обед,Рестораны
2024-05-16,-180,Автобус,Транспорт
2024-05-17,-1890,Продукты,Продукты
2024-05-18,-150,Кофе,Рестораны
2024-05-19,-8900,Игровая консоль,Техника
2024-05-20,-670,Плавание,Спорт
2024-05-21,-1670,Продукты,Продукты
2024-05-22,-450,Такси,Транспорт
2024-05-23,-3400,Брюки,Одежда
2024-05-24,-1200,Суши,Рестораны
2024-05-25,-550,Коммунальные,Коммунальные
2024-05-26,-16700,Тур в Италию,Путешествия
2024-05-27,-4500,Массаж,Красота
2024-05-28,-2300,Курсы маркетинга,Образование
2024-05-29,-1450,Продукты,Продукты
2024-05-30,-350,Метро,Транспорт
2024-05-31,-230,Кофе,Рестораны
2024-06-01,48000,Аванс,Доход
2024-06-02,-1670,Продукты,Продукты
2024-06-03,-2300,Французский ресторан,Рестораны
2024-06-04,-890,Стоматолог,Здоровье
2024-06-05,-2800,Аренда,Жилье
2024-06-06,-950,Интернет,Коммунальные
2024-06-07,-290,Такси,Транспорт
2024-06-08,-6700,Платье,Одежда
2024-06-09,-1560,Концерт,Развлечения
2024-06-10,-1340,Продукты,Продукты
2024-06-11,-670,Бензин,Транспорт
2024-06-12,-7800,Монитор,Техника
2024-06-13,-2300,Йога,Спорт
2024-06-14,-4500,Кресло,Дом
2024-06-15,-450,Обед,Рестораны
2024-06-16,-180,Метро,Транспорт
2024-06-17,-1560,Продукты,Продукты
2024-06-18,-120,Кофе,Рестораны
2024-06-19,-15600,Фотокамера,Техника
2024-06-20,-780,Теннис,Спорт
2024-06-21,-1670,Продукты,Продукты
2024-06-22,-340,Такси,Транспорт
2024-06-23,-2300,Джинсы,Одежда
2024-06-24,-890,Пицца,Рестораны
2024-06-25,-450,Связь,Коммунальные
2024-06-26,-13400,Тур в Испанию,Путешествия
2024-06-27,-3400,Косметика,Красота
2024-06-28,-1200,Курсы финансов,Образование
2024-06-29,-1450,Продукты,Продукты
2024-06-30,-350,Метро,Транспорт